Murders,Robberies,Assaults,Burglaries,Larcenies,Auto_Thefts,Non.Violent,Total_Violent
0,96.04,318.45,818.86,2446.48,90.98,3356.32,414.49
18.94,170.42,170.42,615.41,1893.58,1145.62,3654.61,359.78
8.14,346.59,1279.37,1638.17,3504.88,935.68,6078.73,1634.1
7.46,126.74,320.58,1118.32,4518,313.13,5949.45,454.78
4.65,75.59,119.79,831.52,4254.13,484.96,5570.61,200.03
4.61,55.27,41.45,469.79,1271.19,409.91,2150.89,101.33
0,10.26,54.72,492.44,2681.08,376.17,3549.69,64.98
7.88,39.4,874.7,740.74,3853.43,165.48,4759.65,921.98
0,32.06,84.74,774.07,2810,125.96,3710.03,116.8
0,16.62,44.33,406.32,1939.24,44.33,2389.89,60.95
0,12.92,262.61,675.91,2660.58,202.34,3538.83,275.53
26.23,98.37,937.77,1895.21,3003.48,347.56,5246.25,1062.37
9.78,198.68,691.36,1636.29,7128.3,1142.94,9907.53,899.82
4.19,41.87,184.24,1113.81,2332.3,192.61,3638.72,230.3
8.19,73.75,794.82,1753.52,3695.51,245.82,5694.85,876.76
0,66.98,162.67,818.14,3353.91,334.91,4506.96,229.65
0,0,835.73,943.57,907.62,161.75,2012.94,835.73
5.74,11.49,17.23,356.12,1010.91,269.96,1636.99,34.46
0,236.86,275.42,1410.16,6626.64,567.37,8604.17,512.28
0,150.83,263.95,1115.06,3199.74,705.67,5020.47,414.78
8.83,26.48,105.91,661.96,1588.7,88.26,2338.92,141.22
0,24.78,24.78,99.12,768.21,148.69,1016.02,49.56
4.67,67.74,1688.82,1422.53,1555.67,298.99,3277.19,1761.23
0,28.07,89.83,280.71,1381.09,421.06,2082.86,117.9
12.65,502.59,1221.7,1710.56,5890.68,1844.43,9445.67,1736.94
0,170.84,99.4,437.98,3314.39,267.14,4019.51,270.24
8.64,309.54,280.75,1138.83,2948.59,1226.66,5314.08,598.93
0,17.35,161.92,728.66,2307.43,266.02,3302.11,179.27
4.4,155.59,544.58,753.02,2753.72,664.94,4171.68,704.57
0,52.19,22.37,589.02,2288.99,283.33,3161.34,74.56
0,15.21,53.23,349.81,1528.52,38.02,1916.35,68.44
0,8.5,314.47,1283.36,2354.24,101.99,3739.59,322.97
0,27.78,55.55,464.26,4368.79,386.88,5219.93,83.33
18.39,1035.08,964.85,2856.93,6453.8,1566,10876.73,2018.32
0,309.2,463.81,1291.38,4001.46,1309.57,6602.41,773.01
0,313.81,152.88,864.98,4180.08,1275.35,6320.41,466.69
14.58,29.15,145.76,286.66,2419.59,281.8,2988.05,189.49
0,141.42,1338.74,773.07,4383.9,150.84,5307.81,1480.16
3.04,27.38,51.71,538.42,1892.07,130.8,2561.29,82.13
7.71,231.3,456.44,1503.47,2498.07,949.88,4951.42,695.45
4.68,107.61,626.93,2811.83,3714.79,664.36,7190.98,739.22
0,33.89,333.24,626.94,3061.28,158.15,3846.37,367.13
8.82,12.35,100.56,845.07,4631.1,197.59,5673.76,121.73
23.46,547.39,742.88,2353.77,19401,2252.11,24006.88,1313.73
0,60.9,186.52,456.78,1865.17,232.2,2554.15,247.42
8.61,146.36,198.01,886.76,4364.92,637.09,5888.77,352.98
0,101.92,441.65,962.57,2831.1,419,4212.67,543.57
6.63,581.91,1292,2924.3,7882.35,1521.08,12327.73,1880.54
0,33.55,50.33,813.69,4085.23,134.22,5033.14,83.88
0,13.29,13.29,717.66,5229.58,232.57,6179.81,26.58
0,19.08,200.38,543.89,2958.02,152.67,3654.58,219.46
0,0,60.9,445.03,1592.73,206.12,2243.88,60.9
0,5.42,64.99,438.67,812.35,86.65,1337.67,70.41
4.66,0,195.9,732.28,5513.06,144.59,6389.93,200.56
4.65,74.4,427.78,1122.92,2371.38,692.81,4187.11,506.83
0,128.85,138.05,791.48,2294.69,536.86,3623.03,266.9
8.49,294.21,1111.77,1362.13,5725.76,646.41,7734.3,1414.47
0,112.22,198.54,1070.38,3239.91,480.52,4790.81,310.76
0,162.83,398.51,1641.17,5257.75,252.82,7151.74,561.34
0,8.09,169.92,590.66,1537.34,194.19,2322.19,178.01
0,30.91,119.24,649.18,3170.82,128.07,3948.07,150.15
31.04,1108.27,1224.31,1449.19,3435.8,1724.19,6609.18,2363.62
0,249.24,294.56,1268.88,2084.59,1827.79,5181.26,543.8
0,98.5,98.5,123.12,1422.06,350.9,1896.08,197
3.6,54.02,154.85,1249.64,5052.58,360.13,6662.35,212.47
0,93.43,399.2,849.37,3129.91,237.82,4217.1,492.63
0,9.45,207.85,415.7,1521.09,99.2,2035.99,217.3
18.55,374.07,664.67,673.94,2609.21,262.78,3545.93,1057.29
0,40.14,208.73,561.96,2076.59,184.65,2823.2,248.87
1.34,144.55,401.52,764.22,4727.17,222.17,5713.56,547.41
0,16.68,625.47,1109.17,7789.18,316.9,9215.25,642.15
0,153.46,291.04,624.4,3455.39,291.04,4370.83,444.5
0,99.36,122.29,565.58,4532.25,313.36,5411.19,221.65
9.03,54.2,117.43,1044.87,2469.14,198.74,3712.75,180.66
6.63,180.65,550.63,1377.35,5595.64,372.53,7345.52,737.91
7.09,63.84,219.89,851.18,6554.12,248.26,7653.56,290.82
5.84,116.76,239.36,1155.93,7204.16,245.2,8605.29,361.96
11.66,417.46,981.86,1889.08,3778.16,396.47,6063.71,1410.98
0,0,83.64,376.37,716.89,53.77,1147.03,83.64
1.83,117.89,307.06,1006.18,3684.75,237.61,4928.54,426.78
0,23.4,70.2,852.44,2012.44,340.98,3205.86,93.6
28.26,989.26,1490.96,3794.52,10005.65,2070.38,15870.55,2508.48
0,0,46.52,31.01,690.08,77.54,798.63,46.52
6.78,33.92,27.13,156.02,4382.04,244.2,4782.26,67.83
1.77,507.07,321.55,1590.11,2068.9,950.53,4609.54,830.39
3.38,57.39,121.54,374.75,1775.83,216.07,2366.65,182.31
34.55,747.84,1804.45,2896.34,5542.92,1660.5,10099.76,2586.84
12.05,749.76,696.72,1921.41,4722.76,812.44,7456.61,1458.53
15.87,247.56,1142.6,939.47,2716.86,311.04,3967.37,1406.03
15.4,746.87,1539.94,1412.9,1493.74,1131.86,4038.5,2302.21
4.63,9.27,13.9,393.92,1839.84,101.96,2335.72,27.8
0,37.04,68.79,881,2338.75,243.4,3463.15,105.83
5.91,144.68,147.63,1558.99,4121.88,253.93,5934.8,298.22
0,39.12,195.61,339.05,1421.4,208.65,1969.1,234.73
0,56.32,64.37,836.82,2003.54,313.81,3154.17,120.69
0,12.88,64.4,148.12,943.46,141.68,1233.26,77.28
4.94,49.37,335.69,488.72,2473.22,153.03,3114.97,390
0,7.67,53.66,498.31,1065.62,122.66,1686.59,61.33
70.83,1360.92,3311.24,2423.35,3779.22,2410.71,8613.28,4742.99
9.1,109.19,737.03,2420.38,6424.02,282.07,9126.47,855.32
14.83,1022.83,2112.58,3100.23,6393.64,2922.91,12416.78,3150.24
30.42,712.03,905.78,2012.79,5199.46,1675.96,8888.21,1648.23
0,21.86,21.86,595.56,3169.05,234.95,3999.56,43.72
3.44,75.78,182.57,11881.02,5475.46,449.54,17806.02,261.79
3.56,113.76,657.68,2008.6,4607.34,657.68,7273.62,775
10.13,772.48,131.7,1028.29,3672.47,1187.85,5888.61,914.31
0,20.15,181.32,611.11,3539.05,188.03,4338.19,201.47
7.66,708.13,426.16,1940.67,4289.63,746.41,6976.71,1141.95
0,187.67,1101.34,1437.18,7501.98,158.04,9097.2,1289.01
58.83,1105.38,1982.21,2435.91,4283.48,1651.85,8371.24,3146.42
4.86,104.4,206.38,626.41,2435.23,1600.02,4661.66,315.64
0,71.37,96.44,395.4,2034.87,208.31,2638.58,167.81
0,0,14.46,520.42,2486.45,209.61,3216.48,14.46
0,35.15,126.54,1103.69,4759.23,991.21,6854.13,161.69
32.2,338.1,2740.99,2374.72,7430.07,527.27,10332.06,3111.29
0,42.25,126.74,574.57,2036.33,84.5,2695.4,168.99
0,30.64,143,1164.45,3988.76,515.83,5669.04,173.64
0,19.84,145.5,1071.43,2830.69,99.21,4001.33,165.34
0,32.27,58.09,645.49,1236.12,261.43,2143.04,90.36
4.56,38,130.73,1026.05,5095.31,259.93,6381.29,173.29
5.05,186.01,227.45,1263.62,4971.59,985.63,7220.84,418.51
0,149.09,182.22,1184.46,2310.94,836.58,4331.98,331.31
0,492.26,168.09,1344.7,2989.55,2977.55,7311.8,660.35
0,119.84,816.42,793.95,5759.87,561.76,7115.58,936.26
0,12.68,133.15,437.48,2079.63,145.83,2662.94,145.83
4.47,120.63,281.46,455.7,2819.1,142.97,3417.77,406.56
0,5.29,21.17,164.04,1211.77,42.33,1418.14,26.46
3.82,380.52,449.36,1719.03,2587.15,502.9,4809.08,833.7
3.56,37.99,168.58,815.59,1827.05,261.18,2903.82,210.13
28.9,852.46,704.76,1554.92,3235.53,1748.95,6539.4,1586.12
7.08,62.51,260.67,1013.2,3852.28,316.11,5181.59,330.26
18.67,435.68,890.02,2825.67,5831.83,255.18,8912.68,1344.37
1.07,253.84,234.56,1662.29,3319.23,1428.8,6410.32,489.47
0,35.93,41.06,1380.69,1511.57,272.03,3164.29,76.99
1.06,44.67,229.72,732.78,3165.08,274.39,4172.25,275.45
0,7.6,38,531.96,1314.69,121.59,1968.24,45.6
8.08,60.59,371.64,1123.01,1943.04,367.6,3433.65,440.31
0,134.95,127.59,466.18,3454.62,534.88,4455.68,262.54
17.5,358.76,544.7,1649.42,4348.87,350.01,6348.3,920.96
17.16,369.77,892.47,2144.85,6287.86,1188.04,9620.75,1279.4
0,67.98,1147.18,1317.13,3713.46,237.93,5268.52,1215.16
0,48.19,587.92,1874.61,4631.1,197.58,6703.29,636.11
0,9.47,132.6,634.59,3542.34,132.6,4309.53,142.07
13.67,86.6,218.78,975.39,2515.95,660.89,4152.23,319.05
0,146.46,374.29,850.87,3656.86,318.49,4826.22,520.75
1.72,42.92,321.04,825.78,4999.31,243.79,6068.88,365.68
6.22,99.45,254.85,870.21,2349.58,795.62,4015.41,360.52
2.65,10.61,53.04,379.21,1943.78,82.21,2405.2,66.3
0,73.42,491.89,1431.61,3002.72,535.94,4970.27,565.31
12.05,144.54,54.2,740.79,2553.6,517.95,3812.34,210.79
0,106.66,352.79,1448.09,7650.65,332.28,9431.02,459.45
0,0,75.72,248.8,919.47,48.68,1216.95,75.72
1.96,33.37,243.39,685.01,3218.97,176.65,4080.63,278.72
7.63,137.4,1458.02,3519.08,4564.89,580.15,8664.12,1603.05
6.03,129.57,215.45,712.65,3204.66,248.6,4165.91,351.05
0,87.85,225.13,812.65,4134.64,236.11,5183.4,312.98
0,25.13,115.61,276.47,2375.09,80.43,2731.99,140.74
15.34,281.19,378.0046049,2290.39,6027.61,531.7,8849.7,674.5346049
7.61,663.2,728.61,1461.77,2476.35,1402.45,5340.57,1399.42
0,132.45,119.21,798.01,2221.85,437.09,3456.95,251.66
5.93,207.51,527.66,1831.98,4310.19,332.01,6474.18,741.1
0,76.94,145.34,1008.81,3505.17,196.63,4710.61,222.28
11.99,167.92,1519.27,2206.94,6896.69,559.73,9663.36,1699.18
0,27.52,22.01,462.3,1552.01,126.58,2140.89,49.53
0,92.8,157.48,1155.76,3093.28,455.56,4704.6,250.28
0,0,51.29,393.21,3766.81,153.86,4313.88,51.29
0,34.95,336.04,583.36,1914.08,10.75,2508.19,370.99
7.69,386.45,934.4,1868.8,4533.57,811.35,7213.72,1328.54
0,6.26,43.79,306.56,1851.85,81.33,2239.74,50.05
0,12.67,202.75,620.92,4137.36,82.37,4840.65,215.42
0,71.67,293.86,623.57,2300.75,193.52,3117.84,365.53
16.26,181.16,204.39,1149.69,2838.23,276.39,4264.31,401.81
0,104.43,417.7,1879.65,4150.89,306.75,6337.29,522.13
0,25.78,58.01,219.16,2339.82,45.12,2604.1,83.79
2.69,91.52,172.28,734.88,2180.41,495.3,3410.59,266.49
0,15.9,55.64,166.93,1009.54,254.37,1430.84,71.54
9.04,144.69,479.29,1347.44,3644.42,316.51,5308.37,633.02
0,18.98,4.74,602.52,1556.12,175.54,2334.18,23.72
16.54,194.38,260.55,1683.21,4334.16,244,6261.37,471.47
0,25.4,31.75,768.3,3314.5,266.68,4349.48,57.15
19.49,553.43,880.82,2057.84,2864.6,206.56,5129,1453.74
0,3.78,37.82,132.38,1618.82,128.6,1879.8,41.6
2.72,244.88,261.2,976.79,2671.89,982.23,4630.91,508.8
9.74,302.07,4058.51,1593.2,4972.05,534.72,7099.97,4370.32
23.94,520.65,736.09,1705.57,6977.86,1262.72,9946.15,1280.68
6.27,25.08,43.9,413.9,2376.77,150.51,2941.18,75.25
0,30.52,50.86,328.9,1508.88,328.9,2166.68,81.38
0,162.66,111.29,1806.35,2619.64,1198.53,5624.52,273.95
11.05,375.79,849.94,1038.94,1810.4,1250.04,4099.38,1236.78
0,13.01,85.86,450.13,1470.09,78.06,1998.28,98.87
6.51,55.31,97.61,575.87,3100.6,19.52,3695.99,159.43
0,23.82,83.36,750.22,2857.99,196.49,3804.7,107.18
1.72,84.21,414.17,1213.29,4844.56,677.1,6734.95,500.1
0,79.2,1510.03,1082.37,2729.67,290.39,4102.43,1589.23
4.64,18.56,204.16,533.59,1336.3,148.48,2018.37,227.36
6.71,248.26,684.38,1617.02,5689.75,369.03,7675.8,939.35
0,18.13,54.39,552.99,1441.39,90.65,2085.03,72.52
0,206.63,1066.79,1004.32,1432,595.87,3032.19,1273.42
0,89.63,32.59,729.24,3837.69,879.98,5446.91,122.22
2.15,77.53,348.87,889.42,4052.98,174.44,5116.84,428.55
13.85,34.63,519.43,921.12,7507.45,415.54,8844.11,567.91
12.59,25.17,138.45,679.67,3901.83,239.14,4820.64,176.21
6.2,224.6,342.32,1315.08,3348.87,968.11,5632.06,573.12
10.15,324.66,1603,2054.48,4200.27,390.61,6645.36,1937.81
0,14.43,19.23,841.51,2336.99,144.26,3322.76,33.66
6.57,52.55,98.54,551.8,4210.73,157.66,4920.19,157.66
0,29.65,85.99,495.2,1865.14,163.09,2523.43,115.64
10.51,283.66,308.61,1206.22,5256.94,447.16,6910.32,602.78
0,25.57,62.09,693.96,2107.45,540.56,3341.97,87.66
0,23.95,71.85,277.12,2278.56,130.01,2685.69,95.8
15.42,542.39,824.79,2817.74,5875.84,788.35,9481.93,1382.6
20.4,435.97,1162.58,731.71,1292.61,1009.61,3033.93,1618.95
1.6,67.37,208.53,872.61,3057.33,285.52,4215.46,277.5
0,23.01,10.23,536.91,3098.71,158.52,3794.14,33.24
2.42,112.63,153.81,360.9,2309.53,433.57,3104,268.86
0,11.21,280.33,504.6,1681.99,123.35,2309.94,291.54
2.16,21.6,62.64,316.44,2231.29,71.28,2619.01,86.4
0,94.99,818.71,1085.58,3148.18,407.09,4640.85,913.7
0,50.43,21.61,324.18,2521.43,533.1,3378.71,72.04
4.16,203.79,910.83,2075.36,6151.22,349.36,8575.94,1118.78
2.37,75.74,262.73,772.8,1707.73,730.19,3210.72,340.84
0,26.07,57.36,472.81,2402.31,345.92,3221.04,83.43
0,10.62,63.71,499.04,2089.62,144.4,2733.06,74.33
12.73,254.66,1731.71,1506.76,4817.39,316.21,6640.36,1999.1
0,49.07,198.32,631.77,2681.43,234.1,3547.3,247.39
0,28.21,47.02,630.11,2529.86,141.07,3301.04,75.23
6.13,134.95,432.46,1469.14,5441.05,622.62,7532.81,573.54
2.92,170.76,242.28,1790.8,2770.12,1120.89,5681.81,415.96
15.31,423.15,351.73,1864.49,5186.27,919.33,7970.09,790.19
0,13.98,139.79,111.83,1362.97,104.84,1579.64,153.77
0,50.61,378.0046049,629.81,3329.02,168.7,4127.53,428.6146049
16.39,422.84,885.01,2291.2,2553.43,1632.36,6476.99,1324.24
10.81,283.33,387.45,1606.12,7300.09,794.81,9701.02,681.59
2.42,55.71,133.21,385.11,2809.6,198.61,3393.32,191.34
0,135.07,472.73,821.66,4158.93,180.09,5160.68,607.8
31.17,601.66,2029.43,2933.47,5265.29,1377.89,9576.65,2662.26
3.49,122.16,188.48,778.36,4624.78,328.1,5731.24,314.13
8.09,113.24,48.53,533.85,5629.7,655.18,6818.73,169.86
0,76.77,19.19,230.31,1854.7,268.7,2353.71,95.96
21.39,357.29,569.9,1712.23,4803.3,690.68,7206.21,948.58
0,29.45,323.97,653.83,2974.61,141.37,3769.81,353.42
10.52,68.39,968.01,968.01,4450.76,352.48,5771.25,1046.92
0,50.93,458.33,882.7,4888.81,186.73,5958.24,509.26
11.03,147,573.32,837.93,3590.59,396.91,4825.43,731.35
17.14,556.96,1872.24,2849.06,6310.78,1225.31,10385.15,2446.34
0,26.46,227.53,349.22,1502.73,84.66,1936.61,253.99
0,28.78,46.76,458.64,4075.61,282.38,4816.63,75.54
7.78,62.25,77.81,474.63,3018.99,404.61,3898.23,147.84
0,27.38,45.64,264.72,1150.16,164.31,1579.19,73.02
8.57,373.54,777.8,1585.59,3183.32,1018.49,5787.4,1159.91
0,0,232.93,909.88,4440.24,181.98,5532.1,232.93
6.85,20.56,150.81,322.18,2173.02,301.62,2796.82,178.22
0,44.9,269.41,1405.78,3643.96,162.34,5212.08,314.31
0,73.8,36.9,679.33,3197.02,290.18,4166.53,110.7
0,6.73,188.35,504.51,4984.53,107.63,5596.67,195.08
0,11.46,45.85,366.8,1260.89,63.04,1690.73,57.31
2.57,20.57,218.53,493.61,3822.92,331.65,4648.18,241.67
12.42,78.63,326.93,670.42,4684.65,107.6,5462.67,417.98
0,30.95,106.13,499.69,4855.4,190.15,5545.24,137.08
4.88,53.67,24.4,531.86,2927.69,117.11,3576.66,82.95
0,32.88,32.88,365.34,1063.13,204.59,1633.06,65.76
0,41.66,23.8,464.18,1761.49,249.94,2475.61,65.46
0,307.25,184.35,1049.03,3068.08,1040.25,5157.36,491.6
0,11.31,241.32,923.8,1779.72,143.28,2846.8,252.63
15.01,423.65,1254.27,1404.39,6881.83,600.45,8886.67,1692.93
4.34,8.67,173.43,333.85,1235.69,56.36,1625.9,186.44
0,0,30.74,104.51,2256.24,30.74,2391.49,30.74
0,152.45,601.78,1331.94,5143.22,361.07,6836.23,754.23
0,39.23,321.68,568.83,1090.58,364.83,2024.24,360.91
8.67,268.91,1045.28,2194.66,5495.32,459.75,8149.73,1322.86
3.6,82.77,172.74,500.23,3166.95,622.59,4289.77,259.11
0,48.06,27.46,583.59,2533.47,178.51,3295.57,75.52
3.58,25.05,35.78,243.31,1252.33,207.53,1703.17,64.41
6.47,161.71,142.3,918.5,3117.72,394.57,4430.79,310.48
0,9.54,133.52,343.35,2241.3,76.3,2660.95,143.06
23.93,992.12,966.35,1919.82,4384.48,749.15,7053.45,1982.4
0,28.59,318.03,468.11,2930.14,142.93,3541.18,346.62
24.33,927.67,887.34,2431.86,4069.85,1766.67,8268.38,1839.34
26.59,571.68,698.58,3332.17,5991.13,634.53,9957.83,1296.85
8.36,121.17,305.02,1395.56,3121.21,576.61,5093.38,434.55
1.16,25.5,263.14,1248.48,3000.06,272.42,4520.96,289.8
0,35.21,167.26,655.84,2544.13,708.66,3908.63,202.47
58.06,1362.78,1303.42,2315.46,4293.41,2813.71,9422.58,2724.26
5.43,798.32,957.62,2889.16,7293.5,590.14,10772.8,1761.37
6.74,117.97,315.14,829.13,3156.44,365.7,4351.27,439.85
7.11,204.48,986.82,1484.68,5271.95,497.86,7254.49,1198.41
3.51,195.32,549.71,1316.96,4887.72,720.47,6925.15,748.54
0,65.75,245.47,346.29,3476.09,596.15,4418.53,311.22
11.58,368.69,965.16,2582.76,7522.44,961.3,11066.5,1345.43
0,22.87,419.37,587.11,1052.23,259.25,1898.59,442.24
0,9.15,164.62,649.35,2249.86,100.6,2999.81,173.77
9.88,123.52,563.27,1966.5,3720.54,153.17,5840.21,696.67
0,64.78,378.0046049,547.04,3116.68,201.54,3865.26,442.7846049
2.52,30.29,68.16,643.73,2198.77,252.44,3094.94,100.97
7.11,458.83,878.53,3542.59,12274.59,810.96,16628.14,1344.47
15.85,1182.19,1268.05,1487.31,3271.82,2013.02,6772.15,2466.09
23,579.07,323.33,1998.54,5084.84,789.52,7872.9,925.4
7.08,28.33,49.58,205.41,1763.71,92.08,2061.2,84.99
0,229.63,376.6,1377.79,4160.93,1037.94,6576.66,606.23
0,14.47,57.86,524.88,2764.92,165.32,3455.12,72.33
9.96,685.29,778.92,2633.57,6442.49,603.61,9679.67,1474.17
11.97,538.56,893.61,2960.07,9398.81,1380.3,13739.18,1444.14
4.8,96.05,485.04,1680.83,1267.83,475.44,3424.1,585.89
1.69,30.34,20.23,318.56,1759.68,237.66,2315.9,52.26
22.62,614.62,608.76,2149.82,4967.47,2097.94,9215.23,1246
11.06,505.92,944.11,3034.16,8024.27,1953.2,13011.63,1461.09
2.5,107.37,146.07,608.01,2334.64,300.88,3243.53,255.94
0,18.31,54.92,164.77,201.39,54.92,421.08,73.23
11.56,127.12,328.21,1458.45,4336.07,385.99,6180.51,466.89
6.32,159.67,254.53,1029.17,4439.17,167.58,5635.92,420.52
5.04,15.11,55.42,292.21,1914.45,166.26,2372.92,75.57
9.86,1308.52,1180.3,2926.09,3409.39,2945.82,9281.3,2498.68
11.91,637.66,418.97,1156.23,1368.42,1706.2,4230.85,1068.54
28.89,597.41,779.67,2282.1,5715.58,1304.96,9302.64,1405.97
3.35,160.78,783.81,1219.27,6149.93,750.32,8119.52,947.94
0,61.12,298.83,1086.66,3585.98,237.71,4910.35,359.95
0,21.81,138.12,661.53,2689.74,145.39,3496.66,159.93
10.26,270.95,441.32,1397.87,3101.59,886.75,5386.21,722.53
0,102.99,122.06,938.32,3364.23,186.9,4489.45,225.05
0,0,7.79,31.14,77.86,7.79,116.79,7.79
14.64,139.11,790.75,1486.31,4209.99,505.2,6201.5,944.5
4.22,59.14,288.64,1492.47,2823.03,492.8,4808.3,352
0,100.45,188.73,1281.5,2359.06,420.07,4060.63,289.18
0,139.85,1040.64,1168.15,3611.39,180.98,4960.52,1180.49
0,182.78,308.12,1535.37,3579.91,1128.03,6243.31,490.9
3.16,22.12,385.59,609.99,4500.63,170.67,5281.29,410.87
0,60.7,49.67,364.22,2149.44,44.15,2557.81,110.37
9.62,182.84,628.73,1360.11,3320.07,259.83,4940.01,821.19
0,88.09,181.93,907.73,2060.59,365.77,3334.09,270.02
0,14.77,125.51,487.26,2901.44,95.98,3484.68,140.28
0,17.87,160.86,786.42,1671.13,545.13,3002.68,178.73
0,19.58,156.63,345.89,841.87,130.52,1318.28,176.21
7.87,47.22,657.09,960.06,4103.88,232.15,5296.09,712.18
0,31.75,117.94,394.63,988.84,145.15,1528.62,149.69
13.37,40.1,80.21,655.04,3535.86,140.36,4331.26,133.68
0,24.91,157.74,415.11,1519.3,49.81,1984.22,182.65
0,22.95,32.78,314.72,816.31,196.7,1327.73,55.73
8.98,646.84,1760.85,4438.06,11122.09,583.95,16144.1,2416.67
0,368.14,15.03,796.39,6003.01,691.21,7490.61,383.17
6.36,111.36,111.36,827.21,2946.14,314.98,4088.33,229.08
0,80.19,320.77,1337.95,6639.09,346.09,8323.13,400.96
0,28.35,61.43,359.12,1464.82,122.86,1946.8,89.78
19.15,574.53,1027.77,1666.13,2125.76,1008.62,4800.51,1621.45
0,65.18,130.36,570.31,2579.98,434.52,3584.81,195.54
0,50.81,160.89,457.28,3641.29,177.83,4276.4,211.7
