population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct65up,pctUrban,medIncome,pctWInvInc,pctWSocSec,PctPopUnderPov,PctNotHSGrad,PctUnemployed,PctOccupManu,PctOccupMgmtProf,MalePctNevMarr,TotalPctDiv,PctFam2Par,PctKids2Par,PctWorkMomYoungKids,PctKidsBornNeverMar,PctImmigRec5,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,MedYrHousBuilt,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRentPctHousInc,MedOwnCostPctIncNoMtg,PopDens,PctUsePubTrans
261721,2.6,8.41,82.64,3.92,8.91,14.18,4.58,100,35048,39.01,11.05,8.21,12.19,4.99,10.6,30.91,30.21,12.77,78.19,75.99,63.48,1.89,30.13,87.44,2.2,4.07,58,4.95,47.54,3,1978,0.14,82800,46100,382,157,23.7,11.8,2716.3,0.14
50889,2.77,1.61,95.66,2.04,1.02,13.13,4.77,100,51314,58.68,11.08,3.36,5.56,3.24,7.08,39.55,27.64,9.09,85.61,86.12,66.82,1.31,22.48,94.19,0.56,3.3,79.9,1.21,40.32,3,1979,0.14,127400,69800,578,157,22.9,11.5,1491.7,2.64
7322564,2.6,28.71,52.26,7,24.36,13.06,11.62,100,29823,35.38,24.6,19.29,31.68,8.98,11.64,30.55,41,11.77,57.64,52.24,47.37,10.5,25.51,59.04,9.84,9.16,31.59,12.3,73.76,2,1946,1.25,189600,94900,448,295,25.7,14.1,22878.2,54.33
26436,3.34,18.97,53.6,20.84,10.73,16.16,4.13,100,29043,28.69,10.74,9.67,15.83,3.5,9.67,20.38,24.55,9.33,80.12,77.88,51.64,1.69,18.31,71.79,4.31,7.26,31.74,11.94,55.65,2,1976,0.24,172500,45700,607,177,31.6,12.3,2917.9,1.93
12183,2.36,0.41,97.55,1.55,0.91,11.29,11.28,0,32221,38.36,23.87,6.07,17.61,3.14,11.79,29.23,28.87,11.94,74.41,72.56,75.27,1.78,23.14,93.31,1.23,1.9,58.03,1.26,56.02,2,1957,0.79,117200,59500,451,196,26.1,13.7,291.4,0.75
16023,2.63,13.79,83.94,1.42,2.4,11.91,13.65,100,34934,47.11,27.98,5.75,14.21,5.39,9.88,32.44,23.08,11.99,77.22,72.98,67.95,1.41,12.4,93.6,0.75,3.74,78.92,2.26,29.4,3,1972,0.08,73900,30600,457,137,24.5,11.3,1581.4,0.58
24692,2.54,0.06,97.72,0.77,1.86,12.84,14.62,0,26198,42.1,31.04,8.72,22.43,3.31,22.66,21.56,20.49,11.54,78.73,76.61,69.07,0.89,23.73,95.9,0.75,3.36,65.6,2.8,41.45,3,1976,0.4,60300,30700,302,121,24.8,11.7,1073.9,0
13842,2.35,0.41,94.65,1.98,7.95,8.23,13.57,100,45892,65.77,25.19,3.33,7.59,2.69,3.65,48.83,23.77,12.8,78.29,77.07,69.26,0.32,5.26,89.62,1.21,2.69,75.61,1.36,30.49,3,1953,0.24,108900,63100,529,187,20.2,12.1,3697.1,1.11
88693,2.7,2.92,87.36,2.82,13.97,13.77,9.65,100,28108,34.68,21.99,12.92,21.49,7.07,11.44,23.15,31.67,16.22,65.86,63.25,52.92,3.29,31.36,85.2,3.17,5.26,40.87,8.76,63.54,2,1970,0.24,158000,81500,507,153,30.8,10.8,5943,2.17
11235,2.6,1.89,82.45,1.82,18.16,14.59,13.36,0,23258,34.4,27.62,15.28,26.49,6.5,16.52,24.61,24.93,12.15,75.49,73.66,61.08,1.84,30.07,83.37,2.94,5.93,66.4,4.87,47.7,3,1963,0.32,53900,34800,268,148,26.2,11.5,1189.1,0.09
28259,2.86,42.15,56.94,0.52,0.5,16.26,9.53,100,22052,21.89,25.09,22.94,37.55,8.34,19.96,20.04,29.48,14.22,60.12,51.11,67.15,9.54,5.88,98.41,0.18,7.83,58.69,6.3,43.55,3,1967,1.08,50900,30200,248,163,29,14.1,1900.7,0.1
11162,2.8,26.96,72.26,0.4,0.78,15.43,12.78,0,14874,20.56,33.58,38.27,44.84,13.93,14.6,23.57,25.84,11.08,67.27,62.57,50.91,5.78,0,65.56,2.4,9,63.1,7.17,40.73,3,1963,0.64,39100,31900,165,112,28.6,15.3,2323.5,0.78
122899,3.84,0.12,70.83,0.38,93.87,19.93,7.32,100,18395,18.24,22.73,37.29,51.16,11.24,14.83,21.99,32.64,8.73,75.51,67.71,48.23,2.8,21.62,8.15,21.64,21.34,61.58,26.43,53.73,2,1972,2.11,52500,41300,245,178,27.6,12.8,3608.7,3.55
20714,2.36,1.46,93.15,0.56,11.61,11.35,21.15,0,22166,47.13,43.79,13.5,31.33,8.97,19.07,22.91,29.7,10.7,65.74,62.69,59.49,3.28,18.96,78.98,2.49,4.07,53.56,1.79,36.94,3,1939,0.66,71000,38500,240,131,24.7,14.5,3353.7,2.6
11856,3.03,0.37,98.84,0.4,0.45,20.11,8.63,33.1,36618,51.29,22.01,4.05,13.97,5.73,13.59,28.01,32.57,9.06,80.48,78.23,70.68,0.72,4.9,95.94,0.24,3.62,83.55,1.2,38.37,3,1968,0.71,119800,64900,452,201,28,12.6,225.9,0.88
19050,2.67,1.17,94.31,0.96,7.46,15.43,8.64,0,34372,40.93,20.87,8.87,17.5,5.13,14.84,21.27,25,11.89,78.88,77.97,59.43,1.06,0,93.22,0.61,5.33,71.4,2.83,46.05,3,1972,0.81,71800,34000,282,149,19,11.3,998.4,5.76
11961,2.71,0.24,88.57,1.11,17.04,13.37,12.98,0,27230,33.34,28.75,12.63,30.95,10.34,17.94,18.21,24.17,14.31,70.31,67.82,54.16,2.51,20.59,86.3,3.08,5.56,55.37,7.42,49.8,3,1972,0.11,108900,62000,395,182,28.7,12.4,2853.3,0
15655,2.6,52.88,46.59,0.19,0.54,14.42,15.02,0,18499,24.1,34.68,24.07,43.91,7.91,28.7,19.28,33.05,14.13,49.68,42.97,66.97,9.53,26.52,96.9,0.68,6.31,50.62,5.05,46.78,3,1960,1.45,50800,40600,180,133,29.5,13.9,2134,0.11
23302,4.17,7.95,82.42,1.36,19.55,14.06,4.44,100,51594,38.24,17.3,5.34,24.25,5.1,14.49,23.72,42.59,9.94,82.9,75.36,48.57,3.46,16.87,84.6,2.25,10.56,82.83,6.06,22.51,3,1970,0.24,203400,106300,617,385,28.2,11.9,1641.4,0.27
45226,2.95,59.63,39.76,0.43,0.56,17.15,10.96,0,18060,20.33,30.07,31.96,38.54,12.45,19,23.16,35.15,13.52,52.47,42.18,67.29,12.32,32.8,97.37,0.21,11.3,57.98,9.73,45.71,3,1965,0.83,42500,30900,207,163,32.3,15,1672.6,0.24
26167,2.37,0.94,91.3,6.07,6.46,9.03,14.25,100,54658,62.49,25.65,2.73,8.38,2.43,6.28,39.23,24.71,11.26,82.5,81.21,62.67,0.58,10.63,84,1.64,2.14,75.92,1.98,44.78,3,1957,0,407500,171901,744,361,26.6,11.9,4486.8,3.98
84474,2.76,4.8,78.81,1.14,27.99,16.42,11.57,100,23534,37.05,27.01,18.5,29.08,7.71,14.72,23.56,27.62,12.12,74.97,70.45,65.56,1.9,13.43,73.84,3.89,5.71,61.39,6.6,52.54,2,1967,0.47,48300,37200,302,150,25.4,13,1702.6,0.68
27623,2.49,5.26,94.08,0.29,0.33,13.24,15.24,100,21688,36.17,35.91,16.93,31.19,8.67,21.56,15.52,26.78,12.63,66.86,64.74,48.26,4.37,4.77,95.79,0.45,3.99,66.48,1.45,44.54,3,1949,0.48,44000,22700,255,133,26.6,13.1,3513.5,1.91
71166,2.87,42.2,51.25,1.36,8.01,16.56,7.82,100,21962,20.23,23.85,26.67,37.61,14.4,24.49,14.34,42.09,17.89,46.61,41.73,53.63,12.73,14.75,91.4,1.35,9.52,52.36,6.93,55.71,2,1954,0.46,36300,17900,362,191,30.5,14,3434.7,0.9
52141,2.82,44.58,54.68,0.38,0.61,13.7,11.94,74.94,26125,29.04,28.99,17.28,36.09,7.06,19.26,22.3,27.96,11,67.53,59.27,62.31,8.21,16.63,97.01,0.31,6.44,68.27,3.41,34.4,3,1967,4.04,70700,50700,250,198,28.7,14.3,125.8,1.63
16162,2.36,36.84,62.7,0.2,0.37,12.16,17.94,0,22446,35.91,36.51,15.61,37.05,5.68,30.35,23.08,28.44,13.39,59.28,53.26,70.45,7.8,4.23,96.59,0.51,4.18,63.12,2.44,47.1,3,1959,0.52,52700,47400,255,134,23.7,13.2,1423.7,0
66473,2.66,0.63,97.81,0.83,2.58,12.06,15.97,100,38742,48.04,34.09,3.74,20.23,5.55,11.95,24.31,25.37,7.69,84.22,82.61,54.19,1.03,11.78,92.48,0.85,4.06,83.83,1.31,44.45,3,1972,0.16,133100,61500,604,216,32.6,17.4,2441,1.75
23170,2.09,0.7,95.77,1.74,6.86,8.08,12.36,100,53419,57.16,19.88,6.14,5.87,1.84,3.13,48.8,37.11,16.9,76.69,74.71,68.23,0.3,20.76,88.52,2.03,2.54,64.34,2.34,59.3,2,1960,0.44,471300,156101,859,349,27.9,11.8,2575.6,1.97
12849,3.59,1.85,62.03,0.19,91.07,18.8,10.44,0,16180,13.09,32.32,37.04,61.8,12.26,22.14,14.35,30.36,10.59,72.16,61.18,39.62,3.45,3.26,15.13,14.64,18.52,68.41,20.25,50.24,2,1960,3.15,30700,24500,179,138,28.7,14,1345.2,1.23
63891,2.64,2.72,93.52,1.49,3.5,13.2,9.04,100,31103,41.08,21.77,7.07,21.43,5.13,23.93,18.35,28.4,11.33,76.5,75.93,68.58,2.5,16.5,94.47,0.95,4.93,73.05,2.55,48.64,3,1962,0.09,57700,23200,397,104,23,12.7,2539,0.59
15440,2.86,0.31,98.63,0.64,0.49,13.92,8.39,0,36091,47.33,22.69,5,18.63,5.18,18.97,19.55,29.13,9.66,79.12,79.48,75.41,1.42,25.32,96.83,0.61,4.2,78.24,1.63,37.23,3,1968,0.22,83700,27900,408,110,27.2,11.3,1641.9,1.69
18540,2.49,0.09,99.39,0.18,0.51,14.13,15.18,0,19985,33.14,34.55,18.82,39.87,7.01,27.97,17.54,19.43,12.75,76.53,72.93,69.52,0.67,0,98.98,0.28,2.28,68.9,1.88,43.88,3,1972,0.51,41800,29500,216,121,26,12.3,616.9,0.23
31971,2.2,1.7,91.28,5.46,5.4,11.38,17.88,100,54348,55.83,28,6.6,10.57,3.8,1.37,51.85,32.58,12.23,75.73,77.69,49.3,1.04,22.29,64.34,4.86,4.05,54.32,3.27,61.04,2,1949,0.2,500001,0,902,341,29.5,12.9,5437.2,4.31
14790,2.87,16.34,81.75,1.53,1,20.62,14.02,100,43376,65.12,33.47,2.9,9.16,4.65,4.23,44.99,36.71,6.2,83.94,83.27,68.29,2.22,12.29,88.61,0.8,3.36,83.68,0.56,22.15,3,1948,0,90400,36000,482,175,27.5,13.5,7812.2,5.81
34075,2.59,4.22,94.72,0.45,0.85,14.23,11.68,0,22439,31.66,30.89,16.85,30.32,10.98,22.82,17.85,24.01,14.6,70.49,66.69,58.27,2.97,13.67,97.7,0.24,4.6,63.17,1.68,40.38,3,1945,0.81,34500,24000,232,99,25.6,12.9,4102.3,1.01
332943,2.54,19.7,76.96,1.05,3.97,14.78,12.25,100,24819,36.37,28.93,19.09,26.84,9.92,18.52,22.88,34.15,13.62,62.64,58.92,57.77,6,27.39,93.15,0.8,5.59,64.11,1.95,47.33,3,1951,0.34,48900,34700,286,155,27.2,13.9,3988.5,3
1585577,2.63,39.86,53.52,2.74,5.63,13.92,13.74,100,24603,32.15,31.63,20.27,35.69,9.62,14.13,24.81,42.11,12.53,53.45,47.22,54.09,11.53,24.3,86.31,2.63,8.48,66.55,4.69,42.28,3,1939,0.88,49400,49200,358,231,29.8,14.8,11326,29.31
82585,2.8,2.08,92.78,4.55,1.98,14.34,12.95,100,59719,66.23,25.85,4.33,8.34,3.94,4.03,52.32,38.4,6.41,84.76,84.77,66.66,0.7,21.86,84.82,1.63,4.02,73.79,0.84,33.82,3,1939,0.27,293400,169700,809,423,25.2,13.1,4413,12.27
29721,2.34,3.52,95.13,1.03,1.7,10.52,22.59,100,32704,54.7,41.16,6.72,15.77,4.21,7.13,37.67,22.21,10.31,76.18,74.95,62.3,1.18,7.12,91.96,0.7,2.01,78.76,1.07,43.28,3,1975,0.08,91500,57900,449,241,28.3,12.7,1137.7,0.77
66049,2.63,26.41,72.45,0.76,0.72,17.79,14.33,100,23726,39.06,35.02,16.45,30.52,5.97,14.92,27.39,34.52,11.25,64,59.7,63.78,5.88,43.05,96.8,0.35,3.95,61.35,1.83,47.28,3,1960,0.29,56900,42100,272,174,24.7,12.6,1290.5,3.33
21847,2.92,17.14,81.71,0.92,0.48,17.83,7.45,100,36770,42.8,18.35,9.48,13.22,3.37,7.43,35.55,30.77,9.11,76.53,74.47,63.43,3.9,53.98,96.28,0.35,3.92,72.5,2.99,33.11,3,1976,0.37,73400,32100,350,121,25.6,12.3,885.5,0.24
26184,2.49,34.26,65.09,0.31,0.53,14.9,17.55,100,19433,31.57,39.05,19.89,37.36,7.46,21.73,22.1,33.31,12.75,56.04,49.67,67.84,7.89,19.78,97.25,0.44,5.24,52.36,3.97,57.54,2,1961,0.25,53100,40600,229,173,24.6,13.5,2042.4,0.88
101484,2.83,5.83,87.21,2.63,8.77,14.14,4.73,100,35934,34.13,13.22,7.73,18.76,4.74,11.26,25.69,23.44,13.21,77.5,74.52,70.98,1.78,21.81,89.97,1.19,4.66,67.55,4.75,36.41,3,1977,0.16,68700,34300,397,149,24.3,12.7,2286.9,1.22
24656,2.7,24.63,73,1.13,3.12,13.67,9.97,100,36995,42.77,22.53,4.89,13.06,4.94,11.49,30.45,31,12.71,71.03,70.17,67.92,3.72,11.4,93.73,0.67,4.83,70.95,1.63,44.74,3,1955,0.15,58800,26400,397,235,22.7,11.4,4826.9,11.71
12727,2.49,0.11,99.03,0.34,0.34,11.95,14.93,100,23056,49.72,33.86,11.12,25.73,6.85,20.9,22.54,32.9,10.14,72.22,72.67,67.23,1.89,0,96.81,0.47,3.44,65.29,1.06,51.2,2,1952,0.56,43600,21900,266,143,27.1,13.6,1249.9,0.19
33626,2.88,0.92,96.35,2.34,1.02,14.91,8.14,100,49143,64,17.53,3.51,11.01,3.13,8.47,44.28,23.96,5.81,89.64,88.59,57.94,0.32,21.14,95.48,0.49,3.26,88.77,0.45,16.76,3,1968,0.07,97100,45900,467,196,22.9,11.6,1260.7,0.34
22430,2.67,0.28,98.83,0.59,0.59,19.96,12.62,0,31235,51.45,28.59,8.06,16.34,6.42,13.56,28.3,35.27,10.46,74.41,73.75,66.56,1.74,21.38,95.33,0.52,2.93,64.12,1.25,48.35,3,1954,0.33,113000,51500,481,249,29.7,15.5,580.3,0.03
13352,2.82,2.55,97.01,0.28,0.36,13.91,14.84,73.6,32713,46.04,32.15,8.79,25.83,5.41,17.76,27.61,22.04,8.48,82.16,77.61,68.08,1.16,3.85,97.24,0.48,3.26,83.85,1.2,32.59,3,1957,1.35,66300,43400,248,164,24.3,12.1,369.6,0.2
10637,2.16,9.69,89.52,0.51,0.75,9.99,18.45,100,23773,43.75,35.02,12.53,21.74,6.62,9.73,34.27,35.59,11.16,63.45,64.25,55.69,2.99,15.57,93.29,0.35,3.26,62.28,0.65,56.32,2,1940,1.15,40900,25700,316,130,24.4,13.8,8564.4,16.83
165121,2.36,15.78,82.73,1.04,0.67,16.31,13.77,100,19923,34.7,30.68,20.8,29.21,7.11,14.23,27.6,37,14.23,62.09,57.18,59.22,4.81,44.26,96.24,0.48,3.15,54.26,2.29,59.26,2,1960,0.28,49800,33700,261,156,26.5,13.6,2063.3,1.93
10836,2.28,5.59,92.94,0.58,1.49,12.64,9.09,0,25649,30.14,19.2,8.46,25.51,5.99,19.37,20.59,27.19,15.37,66.54,65.51,78.17,2.38,34.88,96.9,0.81,1.49,47.84,1.7,65.02,2,1977,0.65,80700,50300,302,117,22.5,13.1,1451,0
86335,2.5,1.61,94.71,3.09,0.93,11.69,9.12,100,41736,56.86,19.95,3.7,8.76,3.28,9.56,31.64,30.48,9.4,80.21,80.39,72.26,1.27,17.65,94.3,0.71,2.84,77.03,1.41,42.58,3,1967,0.18,97500,45000,545,182,25.8,11.3,2345.2,3.14
21160,2.79,11.1,83.79,4.57,2.83,11.38,12.65,100,58194,64.95,24.94,1.49,12.02,3.75,6.01,42.09,27.54,6.47,86.47,83.94,55.65,0.67,14.28,85.29,1.53,3.96,85.73,0.92,25.64,3,1957,0.28,206900,116200,702,195,23.5,15,2250.1,7.6
29208,2.6,1.41,96.54,1.4,2.1,11.37,15.64,100,45481,60.89,31.36,1.79,20.02,3.44,8.43,32.55,28.45,8.57,82.24,81.3,70.91,0.85,7.51,82.18,2.51,3.04,84.14,0.88,42.36,3,1964,0.19,165800,56100,649,217,24.7,12.8,2139.7,1.46
12839,2.46,7.24,91.65,0.54,0.86,14.38,16.85,0,20569,40.02,36.52,18.27,31.36,8.52,18.42,22.34,23.84,11.36,71.13,67.77,73.71,2.49,23.96,97.94,0.44,3.78,67.87,1.82,55.86,2,1954,0.58,33200,33000,188,108,25.3,13.4,1227.9,0.55
75058,3.86,0.19,97.05,1.69,2.54,19.8,3.14,100,43971,45.34,10.48,4.21,6.93,3.56,8.39,31.54,25.12,6.38,89.17,89.56,55.28,0.43,13.27,94.69,0.55,20.44,89.44,3.24,13.73,4,1978,0.26,87500,40800,397,245,22.8,11.4,3625.3,2.34
51464,2.9,2.53,92.97,3.78,2.04,15.12,8.11,100,52208,65.08,17.33,5.12,7.8,2.42,5.38,44.93,30.22,7.31,87.46,87.61,59.06,0.68,22.59,90.94,1.15,4.34,79.69,1.32,33.72,3,1971,0.09,148700,87900,590,218,26.8,12.1,4486.1,9.74
22608,2.91,0.69,98.03,0.43,1.3,14.36,6.34,82.94,42549,44.73,17.54,4.36,16.57,6.2,14.48,24.36,26.86,10.75,82.93,80.98,64.5,2.64,8.84,96.45,0.23,4.46,90.45,2.06,32.43,3,1970,0.1,97000,60300,457,169,23.8,12.9,648.8,0.18
14988,2.49,9.78,84.1,0.45,2.48,13.84,16.31,0,18357,34.3,33.51,23.15,33.47,9.5,17.19,24.54,22.62,13.15,68.5,64.73,60.79,2.65,17.28,96.64,0.29,3.68,65.84,2.43,51.03,2,1957,0.09,38000,32700,224,124,26.9,12.6,1057.3,0
405390,2.49,4.28,75.25,2.2,29.25,15.91,11.34,99.98,21748,36.28,25.85,20.16,21.39,8.12,10.35,26.28,36.79,14.15,65.86,61.93,61.52,4.29,28.48,72.89,4.14,6.32,55.14,7.3,62.99,2,1971,0.38,66800,33400,327,146,29.6,12.5,2503.8,4.29
23330,2.94,7.36,88.58,2.67,3.69,17.84,6.76,64.02,41944,36.52,18.29,4.35,18.12,4.1,9.45,23.81,36.33,9.3,79.01,75.91,63.41,2.48,13.09,90.82,1,4.35,71.76,2.19,47.98,3,1982,0.42,111300,56600,619,127,24.3,12.8,249.1,1.66
11967,2.62,5.57,73.69,0.15,28.98,14.86,14.7,0,19157,27.47,34.87,23.02,41.2,8.51,19.92,17.54,21.96,10.51,75.23,70.05,59.72,1.79,9.06,75.44,1.76,6.79,65.95,6.25,54.98,2,1956,0.64,27200,28300,198,134,27.9,13.6,1329.7,0.58
25925,2.51,4.6,92.63,1.72,2,11.14,10.56,100,30591,48.5,22.76,6.68,11.2,5.12,9.61,31.3,34.38,12.53,75.93,75.06,67.76,1.69,14.14,93.41,0.8,2.87,42.77,1.7,57.38,2,1950,0.36,137600,58200,497,233,26.4,13.8,1602.6,0.99
10466,2.76,0.89,98.1,0.64,1.08,12.65,9.99,100,37683,37.59,23.68,8.02,14.63,7.31,11.41,29.52,36.62,12.32,70.43,67.48,50.68,2.85,8.33,91.99,1.02,7.07,69.74,1.21,37.96,3,1945,1.2,152800,66300,658,333,29.4,12.9,3397.6,8.66
17118,2.29,0.59,97.87,1.37,0.55,8.93,16.44,100,34644,63.01,30.83,4.13,16.84,3.05,7.48,36.25,31.24,7.8,83.2,82.4,66.07,0.77,10.27,93.6,0.48,1.83,74.91,0.64,49.13,3,1958,0.14,69000,32800,465,188,21.6,13.6,4180.8,11.76
17668,2.52,16.58,78.17,4.04,2.1,12.19,4.7,70.5,34639,42.93,10.11,9.33,12.12,3.78,6.88,38.1,42.59,11.31,74.43,73.64,65.42,5.53,31.93,88.94,0.93,3.71,50.21,2.54,66.88,2,1975,0,118800,53100,531,124,24.5,14,606.6,2.48
35748,2.86,12.06,82.54,2.14,6.65,16.21,6.32,100,41028,46.43,16.44,3.78,12.99,4.57,10.66,32.53,24.47,11.2,78.22,76.06,62.9,1.81,11.31,92.84,0.56,4.24,70.39,3.35,27.98,3,1975,0.18,86200,52200,456,204,26.2,11.3,3057.5,0.89
11290,2.46,9.4,89.79,0.46,0.42,12.46,19.43,0,23744,39.67,38.89,14.35,30.01,4.48,18.04,24.52,21.41,10.57,71.5,69.43,65.7,2.12,21.43,97.76,0.13,3.16,68.71,1.63,51.98,2,1958,0.28,38300,30000,193,134,25.8,12,1098.7,0.63
11439,2.7,0.54,94.18,4.9,2.7,9.9,12.28,100,62420,70.06,25.1,2.45,9.49,2.71,4.86,43.97,26.68,5.8,90.92,90.33,56.45,0.38,14.81,85.44,1.23,3.2,81.13,0.64,25.71,3,1957,0.58,246400,89500,702,352,24.9,12.7,3001.1,7.98
